,NAME,CUISINE_LVL1,CUISINE_LVL2,CUISINE_LVL3,COST
9879,Cacao Love,Bakery,,,Low
9880,Shree Muthappan Eating House,South Indian,,,Low
9881,Auromirra Patisserie,Bakery,Desserts,,Low
9882,Expressions,Bakery,Desserts,,Low
9883,Modern Sweets & Confectionary,Desserts,Street Food,,Low
9884,Hotel Shree Krishna,South Indian,North Indian,Chinese,Low
9885,R9 Designer Cake Studio,Bakery,,,Low
9886,Hotel Parvati,South Indian,Chinese,,Low
9888,Chocolate Blues,Bakery,,,High
9889,Shree Bikaner Snacks And Sweet Corner,Street Food,Mithai,,Low
9890,Simply Potatoes,Mexican,Fast Food,,Low
9891,Hutaib'S Chocolates,Bakery,Desserts,,High
9892,Cookie Cutter,Bakery,Desserts,,Low
9893,Swad Chinese Corner,Chinese,North Indian,Seafood,Low
9894,The Cutchi Memon Table,Mughlai,North Indian,Rolls,High
9895,Tiffin Isha Foodcourt,North Indian,Rajasthani,,Low
9896,Neo Rush,North Indian,Chinese,,Low
9897,Amrut Hotel,North Indian,Chinese,,Low
9898,Sharma'S Milky,Desserts,,,Low
9899,Noor Bakers,Bakery,Fast Food,,Low
9900,White,Bakery,,,Low
9901,Pretty Bliss,Bakery,,,Low
9902,New Bharat Restaurant,North Indian,,,Low
9904,Shree Ramdev Restaurant,Rajasthani,,,Low
9905,Exotic Chocolates,Desserts,,,Low
9906,Le Pure Chocolates,Desserts,,,High
9907,Sai Pooja,Chinese,Mughlai,North Indian,High
9908,Hotel Vaishanavi,Biryani,Chinese,North Indian,High
9909,Sai Sahara,Fast Food,North Indian,Chinese,Low
9910,Piccolo,Bakery,Desserts,Fast Food,Low
9911,Hotel Derby,North Indian,Chinese,,High
9912,Checkers Resto,Chinese,North Indian,Continental,High
9913,Harmony Fine Dine,North Indian,Chinese,Seafood,High
9914,Sindh & Punjab Ice Cream Parlour,Desserts,Ice Cream,,Low
9915,Kadal,North Indian,Chinese,Mughlai,High
9916,Hotel Nityanand,North Indian,Fast Food,,Low
9917,Madhubala,North Indian,Chinese,Seafood,High
9918,Toss N Grill,South Indian,Street Food,Fast Food,Low
9920,Surya Family Restaurant & Bar,North Indian,Chinese,Mughlai,Low
9921,Food Wonder,North Indian,Street Food,Chinese,High
9922,Tasty Treat,Fast Food,,,Low
9923,Hotel Shree Krishna Vihar,Chinese,North Indian,South Indian,Low
9924,Hotel Ayodhaya,South Indian,North Indian,,Low
9925,Leeds,North Indian,Chinese,Malwani,High
9926,Shree Krishna,Chinese,North Indian,,Low
9927,Hotel Shivraj,Chinese,North Indian,Biryani,Low
9928,Hotel Prakash,Biryani,Chinese,North Indian,Low
9929,Hotel Durga,Chinese,Seafood,North Indian,Low
9930,Hotel Srushti,North Indian,Fast Food,Chinese,High
9931,Giriraj Fast Food,South Indian,North Indian,Chinese,Low
9932,Gurudev Restaurant & Bar,Mughlai,Chinese,South Indian,High
9933,Janith Bar & Restaurant,Chinese,Biryani,North Indian,High
9934,Thakkar Fast Food,Fast Food,,,Low
9936,Healthy Fast Food,South Indian,Street Food,Chinese,High
9937,Hotel Kolhapuri Maratha,Maharashtrian,North Indian,,High
9938,Hotel Maitri,North Indian,South Indian,,High
9939,Sharma'S Kitchen,North Indian,Chinese,Mughlai,Low
9940,Hotel Rassatarri Pure Non Veg,North Indian,,,Low
9941,Hippo Hub,Fast Food,,,High
9942,Bite Box,Fast Food,Ice Cream,South Indian,Low
9943,Jai Maharashtra Snacks Corner,Street Food,Fast Food,,Low
9944,Sadguru Pav Bhaji,Fast Food,,,Low
9945,New Shalimar Fine Dine Family Restaurant,North Indian,,,High
9946,Udupi Veg Restaurant,South Indian,North Indian,Chinese,High
9947,Dombivali Fast,Fast Food,Chinese,,Low
9948,Snacks Junction,Street Food,,,Low
9949,Cream Chills,Desserts,,,Low
9950,Tawakkal Restaurant,Fast Food,Mughlai,Chinese,High
9952,Harmony Bistro,North Indian,Mughlai,Seafood,High
9953,Delhi Highway,North Indian,Mughlai,,High
9954,Pi Bar And Kitchen,Continental,European,Italian,High
9955,The Sassy Spoon,European,Mediterranean,Asian,High
9956,Tea Post,Tea,,,Low
9957,Midtown Family Wine And Dine,North Indian,Chinese,Seafood,High
9958,Mahakali,Street Food,South Indian,Fast Food,Low
9959,Hotel Twins,Fast Food,North Indian,Biryani,High
9960,Juice Lounge,Juices,,,Low
9961,Curry Chef,North Indian,Biryani,,High
9962,Bismillah Juice,Juices,Beverages,Desserts,High
9963,Mahesh Lunch Home & Bar,Seafood,North Indian,Chinese,High
9964,Vasant Bhuvan,Chinese,North Indian,South Indian,High
9965,Wanton House,Chinese,Thai,,High
9966,For Stomach,Chinese,North Indian,,High
9968,Sagar Food Point,Fast Food,,,Low
9969,Cake Town,Bakery,Desserts,,Low
9970,Orange,Fast Food,Juices,,Low
9971,Tandoor Tea,Tea,Beverages,Fast Food,Low
9972,Ossum Foods,Fast Food,Continental,Italian,Low
9973,V The Baker Cake Shop,Bakery,Desserts,,Low
9974,Lazeez,Chinese,North Indian,,Low
9975,Tandoori Tawa,Rolls,Biryani,Fast Food,Low
9976,Mejwani,Chinese,North Indian,Fast Food,High
9977,Yo Ho Corner,Maharashtrian,Chinese,Fast Food,Low
9978,Kitchen On My Plate,Chinese,Gujarati,North Indian,Low
9979,Mandal'S Kitchen,North Indian,,,Low
9980,Shri Swami Samarth Gruh Udyog,North Indian,,,Low
9981,Cloud Kitchen,Fast Food,Beverages,,Low
9982,Maiya Di Thali,Gujarati,Maharashtrian,North Indian,High
9984,Monsoon Restro & Cafe,Chinese,South Indian,Fast Food,Low
9985,Yummy Tummy,Fast Food,,,Low
9986,Gavran Tadka,Malwani,,,High
9987,Bawa N More,Parsi,,,High
