,NAME,CUISINE_LVL1,CUISINE_LVL2,CUISINE_LVL3,COST
13747,Tastee Bites,Bakery,,,Low
13748,Hotel Sapna,North Indian,Seafood,Chinese,High
13749,Hotel Geeta,North Indian,Chinese,,High
13750,Appetisers,Chinese,Fast Food,,Low
13751,Nice Zaika,North Indian,Chinese,,Low
13752,Foodboy,North Indian,,,Low
13753,Choco Kisses,Bakery,Desserts,,Low
13754,Badariya Hotel,North Indian,Chinese,,Low
13755,Fast Food Corner,Chinese,,,Low
13756,Hotel Om Sai,North Indian,Chinese,,High
13757,Desi Treat,North Indian,Fast Food,,Low
13758,Hotel Chaitanya,Chinese,,,High
13760,Raj Chinese Corner,Chinese,,,Low
13761,Friendz Dhaba & Fast Foods Centre,Chinese,North Indian,Mughlai,High
13762,Enhance Cuisine,Fast Food,,,Low
13763,Cafe Proteilicious,Fast Food,,,Low
13764,F For Fries,Fast Food,Beverages,,Low
13765,Hotel Noori Darbar,Mughlai,Chinese,North Indian,Low
13766,Hotel Srushti,North Indian,Chinese,,High
13767,Arnav Nx,North Indian,Chinese,Malwani,Low
13768,Rah Pick,Fast Food,Street Food,Chinese,Low
13769,Sarayish,North Indian,Chinese,,High
13770,Bake For Me,Bakery,,,Low
13771,Fooodies,Fast Food,Chinese,Street Food,Low
13772,Bakers Bazaar,Bakery,,,Low
13773,Sudip Chinese Food,Chinese,,,Low
13774,Sneha Sagar,North Indian,Chinese,Seafood,Low
13776,Mock-Up,Fast Food,Beverages,,High
13777,Lorreta'S Sweet Inspirations,Bakery,Desserts,,Low
13778,Santosh Restaurant & Bar,North Indian,Chinese,Seafood,High
13779,Swagat Chinese,Chinese,,,High
13780,Archit Resto Bar,North Indian,Chinese,Seafood,High
13781,Ambarsariya,North Indian,,,Low
13782,The Biryani Center,Biryani,,,Low
13783,Hungry 2,North Indian,Chinese,,High
13784,U.P Dairy,Street Food,Mithai,,Low
13785,Hotel Sulochana,North Indian,Chinese,,Low
13786,Craving Meals,North Indian,,,High
13787,Sai Amrut Fast Food Centre,South Indian,Street Food,,Low
13788,Hotel Gopalkrishna,South Indian,North Indian,,Low
13789,Hakka Chinese Corner,Chinese,,,High
13790,Hotel Sai Krupa,North Indian,Chinese,Mughlai,High
13792,Sunny,Chinese,North Indian,Street Food,High
13793,Vinita Fast Food,Chinese,North Indian,,High
13794,Icing On Top,Desserts,Bakery,,High
13795,Winner Pop Corn,Fast Food,,,Low
13796,Artesano - Cake Art By Suchita,Bakery,,,High
13797,Hotel Zam Zam,North Indian,Fast Food,,Low
13798,City Bakerz,Bakery,Desserts,,Low
13799,Tea Break,Cafe,,,High
13800,Hotel Sadichha,Chinese,North Indian,Malwani,High
13801,Sammelan Restaurant And Bar,North Indian,Chinese,Fast Food,High
13802,Sheetal Grille - Royal Inn,Seafood,Beverages,Desserts,High
13803,Golden Bar,Seafood,North Indian,Mangalorean,High
13804,Shree Ram Juice House,Fast Food,South Indian,Street Food,High
13805,Hotel Satish,Chinese,North Indian,Mughlai,Low
13806,Binge Bites,Desserts,,,Low
13808,Sushi Star,Sushi,Japanese,,High
13809,Ambadnya,Fast Food,Chinese,South Indian,High
13810,Khaffeine,Cafe,,,High
13811,Arora'S Kitchen,North Indian,,,Low
13812,The Himalayan Trail,Chinese,,,High
13813,Shree Samarth Global Grill,Chinese,North Indian,,High
13814,Dumpies,Chinese,,,Low
13815,Dhanraj Kitchen,North Indian,Mughlai,Chinese,High
13816,Creamy Creations,Bakery,Fast Food,,Low
13817,Sentir,Bakery,,,Low
13818,Fanette,Desserts,,,High
13819,Royal The Best Soda Pub,Beverages,,,Low
13820,Indian Desserts,Desserts,,,Low
13821,Lazzetti,Fast Food,,,Low
13822,Dragon'S Wok,Chinese,,,High
13824,The Bake Shop Aarya'S Cafe,Bakery,Desserts,,Low
13825,Soma'S Gourmet,Bengali,North Indian,Seafood,High
13826,Cookie Cake House,Bakery,Desserts,,Low
13827,Kwality Walls Happiness Station- Daamus Icecream,Desserts,,,Low
13828,Fabbox,Healthy Food,,,High
13829,Cravings,Bakery,Desserts,,High
13830,Mi So Hungry,Desserts,,,Low
13831,Hilda'S Kitchen,Burger,Beverages,Fast Food,Low
13832,Tuliip'S Kitchen,North Indian,Chinese,,High
13833,Yellow Tomato,North Indian,Fast Food,,Low
13834,Red Chilli Restaurant,North Indian,Chinese,,High
13835,The Captain'S Hook,Seafood,,,High
13836,Nivala,North Indian,Chinese,Thai,Low
13837,Foodland,Fast Food,Chinese,,Low
13838,Prince Fries,Italian,Burger,Fast Food,Low
13840,New Aroma Res-Cafe,Fast Food,Chinese,Street Food,Low
13841,Lasamomos,Fast Food,Momos,,Low
13842,Divine Exotica,Desserts,,,High
13843,Hungry Bird,Chinese,,,Low
13844,The Contemporary Peppercorn,Chinese,,,High
13845,Food Fiesta,Chinese,Malwani,Continental,Low
13846,Cafe Sarover,Mughlai,North Indian,Chinese,High
13847,Cherry On Top,Bakery,Desserts,,Low
13848,Saffron Cake Shop,Bakery,,,High
13849,Honey Baker'S,Bakery,,,Low
13850,Irfan Chinese Corner,Chinese,,,Low
13851,Sweet Little Things,Bakery,Fast Food,,High
13852,Hotel Pushpak Multi Cuisine Family Restaurant,North Indian,Chinese,,High
13853,Ssv Foods,North Indian,Chinese,South Indian,Low
13854,Kamakhia Tiffin Center,North Indian,,,Low
13856,Chulha Village,Seafood,Italian,Maharashtrian,High
13857,Birdsong - The Organic Cafe,Cafe,Healthy Food,Beverages,High
13858,Naaz Hotel,North Indian,Chinese,Mughlai,High
13859,Family Tree,Italian,Mexican,North Indian,High
13860,Mexichino,Mexican,Chinese,,High
13861,Twisties,Fast Food,Beverages,American,High
13862,Ambrosia Cafe And Deli,North Indian,American,Italian,High
13863,Heng Bok,Korean,,,High
13864,Vaidehi Bar & Restaurant,Chinese,North Indian,Seafood,High
13865,The Picasso,Chinese,Mughlai,North Indian,High
13866,Chilly And Spice,Continental,Chinese,Thai,High
13867,Hotel Sujay,North Indian,Chinese,Malwani,High
13868,Soven,North Indian,Chinese,Fast Food,High
13869,Sanman Restobar,North Indian,Chinese,Biryani,High
13870,China Blue,North Indian,Mughlai,Chinese,High
13872,Silver Dinner,North Indian,Chinese,,High
13873,Laavanya Tiffins,Maharashtrian,,,Low
13874,Amkits Ice Cream Parlour,Desserts,Ice Cream,,Low
13875,Frosty & Fire,Fast Food,Beverages,Ice Cream,Low
13876,Talking Tummi,Italian,North Indian,Biryani,High
13877,Mk The Food City,Chinese,Biryani,North Indian,Low
13878,Snowflakes,Desserts,Ice Cream,,Low
13879,Khana Khazana,Street Food,Fast Food,Biryani,High
13880,Amol Restaurant,North Indian,Chinese,Mughlai,High
13881,Mokka,Fast Food,,,Low
13882,Shree Ganesh Upahar Griha,Chinese,North Indian,Mughlai,Low
13883,Ruchi,North Indian,South Indian,,High
13884,Cafe R,North Indian,Fast Food,,Low
13885,Hotel Sai Sagar,Chinese,Mughlai,North Indian,High
13886,Cafe Yashaaz,North Indian,Fast Food,,High
13888,Suvai Family Restaurant,Chinese,South Indian,,Low
13889,Chaka Chak Food Land,Fast Food,Pizza,,Low
13890,Sanskruti Kitchen,North Indian,,,Low
13891,Adda For Foodies,Fast Food,Chinese,Italian,High
13892,China Treat,Chinese,Indian,,Low
13893,Tm Rolls And Pockets,Rolls,,,Low
13894,Big Bite,Desserts,Beverages,Ice Cream,Low
13895,Express Chinese House,Chinese,North Indian,,Low
13896,Khubz,Lebanese,Chinese,Kebab,High
13897,Indian Kitchen,North Indian,Chinese,,Low
13898,Ymi,Fast Food,Beverages,,Low
13899,Stop Over Eatery,Bengali,Chinese,Fast Food,High
13900,Colours Ice Cream Hub,Ice Cream,Beverages,Desserts,Low
13901,Street 21 Cafe House,Fast Food,,,High
13902,Cool Food Cafe,Cafe,American,Fast Food,Low
13904,Yaari Adda,Fast Food,,,Low
13905,Jp,Fast Food,,,Low
13906,Barkat Restaurant,Chinese,,,Low
13907,Yummiez,North Indian,,,Low
13908,Darshita Chinese Corner,Chinese,Fast Food,,Low
13909,Swan Restaurant,North Indian,Chinese,,High
13910,Aaswad Cafe,North Indian,Chinese,,Low
13911,Not Just Street Food,Street Food,North Indian,Biryani,Low
13912,Mini Flora Fast Food,Chinese,,,Low
13913,Mumbai Masala Snacks Centre,South Indian,Burger,Fast Food,Low
13914,Radhey Sandwich Corner,Fast Food,,,Low
13915,Sagar Kinara,Chinese,North Indian,,High
13916,Fresh World,Fast Food,Chinese,Thai,Low
13917,Shree Balaji Chinese Corner,Chinese,,,High
13918,Foodiee'S,Chinese,North Indian,,High
13920,Lucky Hotel,North Indian,,,Low
13921,Blueberries,Bakery,,,Low
13922,Bobby Kulfy & Ice Cream,Desserts,,,Low
13923,Kitchen'S King,Chinese,North Indian,Mughlai,High
13924,Cream O Fresh 27,Ice Cream,,,Low
13925,Sugarfall,Bakery,Desserts,,High
13926,Subhash Delhi Darbar Mithaiwala,Mithai,Fast Food,,Low
13927,Chiru Biryani Master,North Indian,Biryani,,High
13928,Cafe Nine,Cafe,Fast Food,,Low
13929,Content Bakers,Desserts,,,Low
13930,Dosa Corner,Fast Food,,,Low
13931,Potoba Food Truck,Fast Food,,,Low
13932,Royal Tasty Food,Ice Cream,Fast Food,,Low
13933,Panini Delite,Fast Food,,,Low
13934,Om Sai Food Feasta,Fast Food,,,Low
13936,The Snack Rack,Fast Food,,,Low
13937,Mammy'S Kitchen And Grill,Fast Food,,,High
13938,Mamma'S Food,Fast Food,,,Low
13939,Jay Leela,North Indian,Chinese,,High
13940,Butler,North Indian,Chinese,,Low
13941,Hotel Ratha Saptami,North Indian,Seafood,,Low
13942,Bake For Me,Desserts,Bakery,,Low
13943,Chat Chaska Centre,Street Food,,,Low
13944,Gruhini Home Made Food,North Indian,,,Low
13945,401 Chefs By Passion,North Indian,Chinese,Biryani,Low
13946,Freshbakes,Bakery,Desserts,,Low
13947,India 24 Hours.....,Chinese,North Indian,,High
13948,Delite Food Corner,North Indian,Fast Food,,Low
13949,Hotel Hare Krishna,North Indian,Chinese,Fast Food,Low
13950,Hotel Welcome Family Resto Bar,North Indian,,,High
13952,New Ashok,North Indian,Chinese,,Low
13953,Andy'S Food & Stuff,North Indian,Fast Food,,Low
13954,Sagar Juice,Beverages,,,Low
13955,Onkara Food Corner Family Restaurant,North Indian,Chinese,,Low
13956,Taste Hub,Pizza,Italian,American,Low
13957,Hashtag Patil Food Court,Chinese,Fast Food,,Low
13958,Food Connection,North Indian,Chinese,,Low
13959,Mad Hunger,Beverages,Fast Food,,Low
13960,The Hungry You,North Indian,Chinese,,Low
13961,R'S Corner,Fast Food,Italian,Beverages,Low
13962,The Masala Khaas,North Indian,Chinese,Mughlai,High
13963,Virgil Restaurant And Caterers,North Indian,Biryani,,High
13964,Jagdamb Nasta Ani Jevan,North Indian,Chinese,,Low
13965,Meal Junction,North Indian,,,Low
13966,Mamma'S Food Magic,Fast Food,Italian,,Low
13968,Vestern The Restaurant,North Indian,Chinese,Fast Food,High
13969,Creamy Cool,Desserts,,,Low
13970,Shree Sai Fast Food Corner,Fast Food,,,Low
13971,Hungryians,Fast Food,,,High
13972,Desi Aroma,Biryani,North Indian,Fast Food,Low
13973,Praful Chinese Corner,Chinese,Fast Food,,Low
13974,The Delicious Kitchen,Rolls,Chinese,Biryani,High
13975,Sai Shraddha Garden Restaurant,North Indian,Chinese,BBQ,High
13976,Apna Punjab,North Indian,,,Low
13977,Samarth Konkan Food And Juice Centre,Konkan,Juices,,Low
13978,Curry Bazaar,North Indian,Mughlai,Biryani,High
13979,Asian Chilli,Chinese,Thai,Asian,High
13980,Hotel C & T,North Indian,,,Low
13981,Shri Balaji,North Indian,South Indian,,Low
13982,Indian Spice,North Indian,Chinese,,Low
13984,Oh! China,Chinese,,,Low
13985,Sai Shankar Snacks,Fast Food,,,Low
13986,Hotel Little Apple,North Indian,Chinese,,Low
13987,Biryani King,North Indian,Biryani,,Low
13988,Bole To Biryani,North Indian,Biryani,,Low
13989,My Taste,Desserts,,,Low
13990,Taishty Bites,Fast Food,,,Low
13991,Indo China Cafe,Chinese,Street Food,Fast Food,Low
13992,Hotel Ashirwad,Fast Food,,,Low
13993,Rucha Fine Dine,Chinese,,,Low
13994,Santriptam,North Indian,Chinese,Fast Food,Low
13995,Beverage Factory,Beverages,,,Low
13996,Food Gallery,North Indian,Desserts,Beverages,Low
13997,Superna And Saurabh Dhaba,North Indian,Chinese,,Low
13998,Bassein Cuisine,North Indian,Chinese,,Low
14000,Spice Food Junction,North Indian,Chinese,Fast Food,Low
14001,The E Adda,North Indian,Chinese,Continental,Low
14002,Nandi Tadka,Chinese,,,Low
14003,Bon Appetite,North Indian,Chinese,Fast Food,Low
14004,Royal Chinese Corner,Fast Food,Chinese,,Low
14005,R2'S Pizzeria World,Fast Food,Continental,Chinese,Low
14006,Big Bite Corner,Fast Food,,,Low
14007,The Suburban Kitchen,North Indian,Chinese,,Low
14008,Panch Food,Fast Food,,,Low
14009,Fz Restaurant,North Indian,Chinese,,High
14010,Taste Of Joy,North Indian,Chinese,,Low
14011,Spice 95,North Indian,Chinese,,Low
14012,Yose,Beverages,,,Low
14013,Mummy'S Kitchen,North Indian,Fast Food,,Low
14014,Le Kebabs,Mughlai,North Indian,,Low
14016,My Meal Box,North Indian,Mexican,Italian,High
14017,My Meal Box,North Indian,Italian,Mexican,High
14018,Kutir Eats,North Indian,Street Food,,Low
14019,Peshwa Kitchen,North Indian,Chinese,,High
14020,Hotel Naivedya,North Indian,,,Low
14021,Pk Chinese Point,Chinese,,,Low
14022,Shree Krishna Sandwich & Juice Center,Fast Food,Street Food,Beverages,Low
14023,Hotel Jagannath,North Indian,,,Low
14024,Butter Maarke,North Indian,,,Low
14025,The Red Charcoal,North Indian,Biryani,Rolls,Low
14026,Dil Se Dalia,North Indian,,,Low
14027,Varun Sai Tirth Family Restaurant,North Indian,Mughlai,Seafood,High
14028,Mealbox Culture,North Indian,,,Low
14029,Tulsa Restaurant,North Indian,Chinese,Biryani,High
14030,Aarohi Hotel,North Indian,Chinese,,Low
14032,Firebowl,Chinese,North Indian,,High
14033,Malvan Takeaways,Chinese,Malwani,Indian,Low
14034,51 Rainbow Ice Cream,Beverages,Desserts,,Low
14035,Redel-World Of Desserts,Beverages,Ice Cream,,Low
14036,Square Spot,Chinese,Fast Food,,Low
14037,Lona Parcel Kitchen,North Indian,Chinese,,High
14038,Waffle Adda,Desserts,,,Low
14039,Red Spice,North Indian,Chinese,,High
14040,Taj Icecream,Desserts,Ice Cream,,Low
14041,The Bhaijaanz,Biryani,North Indian,,Low
14042,Milkshake Kulture,Beverages,,,Low
14043,Le Paan,Paan,,,Low
14044,The Royal Dudes,Fast Food,North Indian,,Low
14045,Food Garage,Fast Food,North Indian,Chinese,Low
14046,Joycita Family Restaurant,Chinese,Continental,North Indian,High
14048,Big B'S Kitchen,North Indian,Rolls,,Low
14049,Kalyani Vada Pav & Dosa Corner,South Indian,,,Low
14050,Hotel Shree Ganesh,North Indian,South Indian,Chinese,Low
14051,Pure Punjabi Food,North Indian,,,Low
14052,Aao Khao Food Corner,Fast Food,Chinese,,High
14053,Vishwa Sagar,South Indian,Chinese,North Indian,Low
14054,Food Fusion,Fast Food,North Indian,Street Food,High
14055,Seven Hills Family Restaurant,North Indian,Chinese,,High
14056,Health Corner,Chinese,Continental,Indian,High
14057,Burger Inc,Fast Food,,,High
14058,Kamal Bhel Puri House,Chinese,Fast Food,,Low
14059,Ice Based Cafe,Beverages,,,Low
14060,Go Gully,Street Food,,,High
14061,Tandoorii Junction,North Indian,Chinese,Malwani,Low
14062,Jai Malhar Food Centre,North Indian,Maharashtrian,,Low
14064,The Juice & Sandwich Station,Juices,Beverages,Sandwich,Low
14065,Pizza & You,Beverages,Pizza,,High
14066,Rj Kitchen,Chinese,Mughlai,,Low
14067,Browncube,Desserts,,,Low
14068,Bless Your Hunger,Continental,Italian,Mexican,High
14069,Fame Tasty Bite,North Indian,,,Low
14070,Food Junction,North Indian,Chinese,,High
14071,The Essence,Chinese,North Indian,,High
14072,Panchavati Chinese,Chinese,,,Low
14073,Outback,North Indian,Chinese,,High
14074,Rose Ki Dawat,North Indian,Chinese,,Low
14075,Daddy'S Kitchen,Malwani,,,High
14076,Hungry Now,Fast Food,,,Low
14077,Kukkad Junction,Fast Food,,,Low
14078,Organza Foods,Healthy Food,,,Low
14080,Freizo,Desserts,,,Low
14081,Chow Kitchen,Chinese,,,Low
14082,Bombay Foods,Sandwich,,,Low
14083,Biscotti Bakes,Desserts,Bakery,,Low
14084,Chinese Garden Restaurant,Chinese,Seafood,,High
14085,Ifruit Icecream Parlour,Desserts,Ice Cream,,Low
14086,Velvet Fine Chocolates,Bakery,Desserts,,High
14087,Trouvaille Cakes N More,Bakery,,,Low
14088,The Melting Hub,Fast Food,,,Low
14089,The Royal Box,North Indian,Rajasthani,,High
14090,The Uncle'S Kitchen,Chinese,Thai,,High
14091,Jassi Chinese And Tandoor Corner,Chinese,,,Low
14092,Thalis And Combos,North Indian,,,Low
14093,Bake Villa,Bakery,Desserts,,Low
14094,Hotel Coast Line,Chinese,Thai,,High
14096,Lasa Momos,Momos,Chinese,,Low
14097,Bombay Spice,Chinese,North Indian,,High
14098,Vimshen,North Indian,,,High
14099,Food Vibes,North Indian,Chinese,Seafood,High
14100,Samruddhi Misal House,Maharashtrian,,,Low
14101,Foodie Junction,Fast Food,,,Low
14102,Hotel Rudra,North Indian,,,High
14103,Carnival Feast,North Indian,Chinese,Italian,Low
14104,Royal Kitchen,Armenian,BBQ,Lebanese,High
14105,Foodies Box,Fast Food,,,Low
14106,Time2Taste Cafe,Bakery,Cafe,Fast Food,Low
14107,Times Big Bite,North Indian,,,Low
14108,My Favourite Cafe,Fast Food,,,High
14109,The Staple Box,North Indian,Biryani,Fast Food,Low
14110,2Nd Left Cakes & More,Bakery,,,Low
14112,Food Garage,North Indian,Chinese,Kebab,High
14113,Grill & Curry,North Indian,Chinese,Continental,High
14114,Hotel Jai Malhar,Chinese,North Indian,,Low
14115,Ek Pe Ek,Chinese,,,Low
14116,Shree Ganesh,North Indian,Maharashtrian,,Low
14117,Cake Swirl,Bakery,,,Low
14118,Delectaz,Healthy Food,,,Low
14119,Shraddha Veg Restaurant,Fast Food,Juices,,Low
14120,Ravioli Pizza And More,Italian,Pizza,,High
14121,Sai Sangam Chinese And Family Restaurant,Chinese,,,Low
14122,Cake Bite,Bakery,,,Low
14123,Hotel Shree Sharada,North Indian,,,Low
14124,Food Planet,Fast Food,Beverages,,Low
14125,Crazyvezy Restaurant,North Indian,Mughlai,Fast Food,Low
14126,Creamy Corner,Desserts,Ice Cream,,Low
14128,Wok N Fire,Chinese,,,High
14129,Pamplemousse Cakes,Desserts,,,Low
14130,Charvik Kitchen'S,North Indian,Chinese,,Low
14131,Kisan Dosawala,South Indian,,,Low
14132,Biryani Junction,Mughlai,,,High
14133,Teenkar Chinese,Chinese,,,Low
14134,Shambho Kitchens,North Indian,,,Low
14135,B.F.C - Burger Fries Chaat,Fast Food,,,Low
14136,Just Baked,Pizza,Burger,Fast Food,High
14137,Spices & More Paratha House,North Indian,,,Low
14138,Go!Burger,Burger,Beverages,Fast Food,Low
14139,Raju Sandwich,Street Food,,,Low
14140,Shree Ganesh Food Center,Chinese,North Indian,,Low
14141,Durga Lunch Home,Chinese,North Indian,,High
14142,Cake Box,Desserts,Bakery,,Low
14144,The Gourmet Cuisine,Chinese,,,Low
14145,Bedekar,Fast Food,,,Low
14146,Tastings,Chinese,Fast Food,,Low
14147,The Shawarma Fusion,Lebanese,,,Low
14148,Kathi Junction,Chinese,North Indian,Rolls,High
14149,Aniket Chinese Corner,Chinese,,,Low
14150,Dairy Don,Desserts,Ice Cream,,Low
14151,Yes Friend Chinese,Chinese,,,Low
14152,Yashwant Pav Bhaji,North Indian,Street Food,,Low
14153,Global Burger Kitchen,Burger,Fast Food,,Low
14154,A1 Fast Food,Biryani,North Indian,Konkan,Low
14155,White Hont,Chinese,,,Low
14156,Urja,North Indian,Fast Food,,Low
14157,Dhamaka Chinese,Chinese,Fast Food,,Low
14158,South Canara,Chinese,North Indian,Seafood,High
14160,Vaishnavi Shudha Shakahari Bhojnalaya,Maharashtrian,,,Low
14161,Fusion Cuisine Restaurant,Fast Food,South Indian,Continental,High
14162,The Indian Konnection,Chinese,North Indian,Rolls,High
14163,Online Fast Food Corner,Fast Food,,,Low
14164,Wild West,North Indian,Chinese,,High
14165,Yumtastic Pizzeria,Pizza,Fast Food,,High
14166,Majestic Eating House,Chinese,North Indian,Continental,High
14167,Zayka,Chinese,,,High
14168,Jadhav'S- Crazy Asian Food,Asian,Chinese,Thai,High
14169,A-1 Fast Foods & Juice Center,Fast Food,South Indian,Beverages,High
14170,Preeti Sandwich And Juice Centre,Fast Food,,,Low
14171,Food 2 Go,North Indian,,,High
14172,Zaika Biryani'S And Kebab'S,Biryani,Kebab,,Low
14173,Corner Sweets And Bakers,Bakery,Mithai,,Low
14174,Sanman,North Indian,Chinese,,High
14176,Biryani Biryani,Biryani,North Indian,,Low
14177,Shree Sagar,Chinese,North Indian,South Indian,Low
14178,Around D' Globe,Thai,Chinese,Continental,High
14179,Ocean Pearls,Chinese,Mughlai,North Indian,High
14180,Chef'S Black And White,Cafe,Fast Food,,Low
14181,Aldough,Bakery,,,Low
14182,Mini Heaven,Desserts,,,High
14183,Aamantran,North Indian,South Indian,Chinese,High
14184,Burger Joint,Burger,Fast Food,,Low
14185,Kadai,Chinese,Fast Food,,High
14186,Madhuri,Chinese,,,Low
14187,Dosti Chinese Restaurant,Chinese,Biryani,,Low
14188,Sai Regency ( Sargam ),North Indian,Chinese,,High
14189,Padmashree,Fast Food,North Indian,Malwani,High
14190,Bharkadevi Ice Cream,Ice Cream,,,Low
14192,The Cottage Bar - Abbott Hotel,North Indian,Chinese,,High
14193,Sai Prasad Bar And Restaurant,South Indian,North Indian,,High
14194,Bono Boutique Ice Cream,Ice Cream,,,High
14195,#Tagmyfood,Chinese,South Indian,North Indian,High
14196,Vividh Fine Dine,North Indian,Chinese,Continental,High
14197,Ashirwad Hotel & Caterers,South Indian,Chinese,North Indian,High
14198,Falooda Point,Desserts,,,Low
14199,Seeta Nx,Fast Food,Chinese,,High
14200,Mezbaan Family Restaurant,Chinese,Mughlai,,Low
14201,Samadhan,North Indian,Chinese,,High
14202,Mob - My Own Brew,Fast Food,North Indian,Italian,High
14203,Vishnuji Ki Rasoi,North Indian,Maharashtrian,,High
14204,Jyoti Lunch Home,Chinese,North Indian,Seafood,High
14205,Annam,South Indian,,,Low
14206,Sizzling Chinthai,Chinese,,,High
14208,The Playlist Pizzeria Music Bar & Cafe,Italian,Pizza,Salad,High
14209,The Wine Rack,European,North Indian,Continental,High
14210,Delhi Darbar,Mughlai,North Indian,Chinese,High
14211,Ticca Tikka,North Indian,Chinese,Fast Food,High
14212,Outpost,North Indian,Continental,,High
14213,Escobar - Tapas Bar,Italian,Mexican,Spanish,High
14214,Wild Dining Restaurant,North Indian,Continental,Mexican,High
14215,Reise All Day Bar & Kitchen,Burger,American,Italian,High
14216,Indigo Delicatessen,European,Italian,American,High
14217,Breadkraft,Rolls,Lebanese,Fast Food,Low
14218,Pishu'S,Healthy Food,Juices,Fast Food,High
14219,At Mrp,North Indian,Chinese,Continental,High
14220,Goa Portuguesa,Seafood,South Indian,Maharashtrian,High
14221,Chopsticks,Chinese,,,High
14222,Mahesh Lunch Home,Seafood,North Indian,Chinese,High
14224,The Sandwich Club,Fast Food,,,Low
14225,Big Belly,Continental,Mexican,Beverages,High
14226,Swati Snacks,Gujarati,Street Food,,High
14227,Blue'S Kitchen,Japanese,Thai,Sushi,High
14228,Zaika Crave - Club Aquaria,North Indian,Continental,Chinese,High
14229,Quattro Ristorante,Italian,Continental,Mexican,High
14230,Revival Restaurant,North Indian,Rajasthani,,High
14231,Garde Manger Cafe,Cafe,Healthy Food,Italian,High
14232,Rama Krishna,North Indian,Street Food,South Indian,High
14233,The Terrace,North Indian,Continental,,High
14234,Cone Culture,European,,,Low
14235,Akkad Bakkad Bombay Boom,Fast Food,,,Low
14236,Fly High,Continental,Seafood,North Indian,High
14237,Oye Kake,North Indian,,,High
14238,The Homemade Cafe,Continental,Italian,,High
14240,The Chinese Adda,Chinese,,,Low
14241,Sliders & Fries,Fast Food,Burger,,Low
14242,Crosta The Cake Boutique,Bakery,Desserts,,Low
14243,Hot N Spicy,Chinese,South Indian,,Low
14244,Dwarka Snacks Corner,Street Food,South Indian,,Low
14245,Bff Quick Bites,Fast Food,Burger,Beverages,Low
14246,Yeva Konkan Aaploch Aasa,Maharashtrian,Konkan,Malwani,High
14247,O! I C Desserts,Desserts,Ice Cream,Coffee,High
14248,Shree Samarth Mejwani,North Indian,Chinese,,Low
14249,Cafe 90'S,Cafe,Fast Food,Beverages,High
14250,Bright & Dark,North Indian,South Indian,,Low
14251,Cake Boutique,Bakery,Desserts,,Low
14252,Tangy Tongue,Fast Food,,,Low
14253,On Toes,Italian,North Indian,Chinese,High
14254,Amritsar Paratha & Biryani House,North Indian,Biryani,Indian,Low
14256,Paratha Corner,North Indian,,,Low
14257,Khan'S Flavour,Mughlai,,,Low
14258,Aditi Juice Centre,Fast Food,North Indian,South Indian,Low
14259,Gulshan_E_Hind,Mughlai,North Indian,Chinese,Low
14260,Togo,North Indian,Asian,Italian,High
14261,This & That,North Indian,Chinese,Sandwich,High
14262,"Cakes, Desserts & More - Hashtag By H & A",Bakery,Desserts,,Low
14263,Faluuuda,Desserts,Fast Food,,Low
14264,Forever Hungry,North Indian,Chinese,Italian,High
14265,Raj Deep Restaurant & Bar,Malwani,Chinese,North Indian,High
14266,Anita Palace,North Indian,Chinese,,High
14267,Pandav Family Restaurant And Bar,North Indian,Chinese,,High
14268,Gossip Fine Dine,North Indian,Continental,Chinese,High
14269,Maratha Darbar,Maharashtrian,,,High
14270,Davat,Chinese,North Indian,,High
14272,Shree Krishna Veg Diet,North Indian,Chinese,South Indian,Low
14273,Desire Momos,Momos,Chinese,,Low
14274,M'S Kitchen,Pizza,Italian,Juices,Low
14275,Fryde,Fast Food,Pizza,Sandwich,Low
14276,Spice Pavilion,North Indian,Malwani,Chinese,High
14277,Rasoi Kamaal,Malwani,Chinese,North Indian,High
14278,Lavangi Mirchi,Malwani,,,Low
14279,Powai Darbar,North Indian,Mughlai,Chinese,Low
14280,Spice Masala,Fast Food,North Indian,Chinese,Low
14281,Red Chilly'S,North Indian,Mughlai,Chinese,High
14282,Anurag Hotel,Chinese,North Indian,Biryani,High
14283,Girija Lunch Home,Seafood,North Indian,Chinese,Low
14284,Sushi King,Chinese,Japanese,Sushi,High
14285,Anand Ashram Hotel,South Indian,North Indian,Street Food,High
14286,Maratha Darbar,Chinese,North Indian,Fast Food,High
14288,Tulsi,South Indian,North Indian,Chinese,High
14289,Baba Seekh Paratha Corner,North Indian,,,Low
14290,Magnum,North Indian,Chinese,Seafood,High
14291,Krishna Pure Veg.,North Indian,South Indian,Chinese,High
14292,Ming China,Chinese,,,High
14293,Shreeji Sagar,Chinese,South Indian,North Indian,High
14294,Good Luck Hotel,North Indian,Chinese,,Low
14295,Oriental Combo Box,Chinese,Momos,,Low
14296,Krishna Paratha House,North Indian,,,Low
14297,Mustea,Cafe,Tea,North Indian,Low
14298,The Veg Plaza,South Indian,North Indian,Chinese,Low
14299,Little China,Chinese,,,Low
14300,Hyderabadi Biryani,Seafood,North Indian,Chinese,High
14301,Regency Family Restaurant,North Indian,Chinese,Seafood,High
14302,Shiyanz Bistro,Fast Food,North Indian,,Low
14304,Fitness Bakery,Bakery,Desserts,Healthy Food,High
14305,Royal Kebab And Kitchen,North Indian,Chinese,Kebab,High
